URL,archived,collaborators,collaborators_url,commits_2024,contributors_url,desc.,disabled,fork,forks,full_name,lang,last_commit,name,score,search_term,size,stars,template,total_commits
https://github.com/mit-han-lab/tinyengine,False,8,https://api.github.com/repos/mit-han-lab/tinyengine/collaborators{/collaborator},11,https://api.github.com/repos/mit-han-lab/tinyengine/contributors,[NeurIPS 2020] MCUNet: Tiny Deep Learning on IoT Devices; [NeurIPS 2021] MCUNetV2: Memory-Efficient Patch-based Inference for Tiny Deep Learning; [NeurIPS 2022] MCUNetV3: On-Device Training Under 256KB Memory,False,False,134,mit-han-lab/tinyengine,C,2024-11-27T18:51:37Z,tinyengine,1.0,['tinyml'],246144,822,False,93
https://github.com/gigwegbe/tinyml-papers-and-projects,False,4,https://api.github.com/repos/gigwegbe/tinyml-papers-and-projects/collaborators{/collaborator},8,https://api.github.com/repos/gigwegbe/tinyml-papers-and-projects/contributors,This is a list of interesting papers and projects about TinyML. ,False,False,137,gigwegbe/tinyml-papers-and-projects,,2025-01-09T12:25:21Z,tinyml-papers-and-projects,1.0,['tinyml'],288,798,False,231
https://github.com/emlearn/emlearn,False,7,https://api.github.com/repos/emlearn/emlearn/collaborators{/collaborator},134,https://api.github.com/repos/emlearn/emlearn/contributors,Machine Learning inference engine for Microcontrollers and Embedded devices,False,False,57,emlearn/emlearn,Python,2025-01-18T23:41:01Z,emlearn,1.0,['tinyml'],2110,545,False,686
https://github.com/mit-han-lab/mcunet,False,4,https://api.github.com/repos/mit-han-lab/mcunet/collaborators{/collaborator},3,https://api.github.com/repos/mit-han-lab/mcunet/contributors,[NeurIPS 2020] MCUNet: Tiny Deep Learning on IoT Devices; [NeurIPS 2021] MCUNetV2: Memory-Efficient Patch-based Inference for Tiny Deep Learning,False,False,84,mit-han-lab/mcunet,Python,2024-03-29T18:17:37Z,mcunet,1.0,['tinyml'],12581,502,False,49
https://github.com/kartben/artificial-nose,False,3,https://api.github.com/repos/kartben/artificial-nose/collaborators{/collaborator},0,https://api.github.com/repos/kartben/artificial-nose/contributors,"Instructions, source code, and misc. resources needed for building a Tiny ML-powered artificial nose.",False,False,71,kartben/artificial-nose,C,2024-07-05T11:58:00Z,artificial-nose,1.0,['tinyml'],20204,353,False,101
https://github.com/Seeed-Studio/ModelAssistant,False,100,https://api.github.com/repos/Seeed-Studio/ModelAssistant/collaborators{/collaborator},224,https://api.github.com/repos/Seeed-Studio/ModelAssistant/contributors,Seeed SenseCraft Model Assistant is an open-source project focused on embedded AI. 🔥🔥🔥,False,False,49,Seeed-Studio/ModelAssistant,Python,2025-01-16T11:13:02Z,ModelAssistant,1.0,['tinyml'],26993,352,False,824
https://github.com/jonnor/embeddedml,False,1,https://api.github.com/repos/jonnor/embeddedml/collaborators{/collaborator},265,https://api.github.com/repos/jonnor/embeddedml/contributors,Notes on Machine Learning on edge for embedded/sensor/IoT uses,False,False,31,jonnor/embeddedml,Jupyter Notebook,2025-01-15T23:54:32Z,embeddedml,1.0,['tinyml'],132566,257,False,520
https://github.com/cpldcpu/BitNetMCU,False,2,https://api.github.com/repos/cpldcpu/BitNetMCU/collaborators{/collaborator},126,https://api.github.com/repos/cpldcpu/BitNetMCU/contributors,Neural Networks with low bit weights on low end 32 bit microcontrollers such as the CH32V003 RISC-V Microcontroller and others,False,False,25,cpldcpu/BitNetMCU,C,2024-12-15T11:52:33Z,BitNetMCU,1.0,['tinyml'],8730,254,False,126
https://github.com/tinyMLx/colabs,False,9,https://api.github.com/repos/tinyMLx/colabs/collaborators{/collaborator},24,https://api.github.com/repos/tinyMLx/colabs/contributors,This repository holds the Google Colabs for the EdX TinyML Specialization,False,False,113,tinyMLx/colabs,Jupyter Notebook,2024-11-02T00:49:43Z,colabs,1.0,['tinyml'],10127,111,False,205
https://github.com/matteocarnelos/microflow-rs,False,2,https://api.github.com/repos/matteocarnelos/microflow-rs/collaborators{/collaborator},21,https://api.github.com/repos/matteocarnelos/microflow-rs/contributors,A robust and efficient TinyML inference engine.,False,False,10,matteocarnelos/microflow-rs,Rust,2024-12-12T14:42:00Z,microflow-rs,1.0,['tinyml'],1337,111,False,108
https://github.com/njadNissi/AI_from_scratch,False,1,https://api.github.com/repos/njadNissi/AI_from_scratch/collaborators{/collaborator},20,https://api.github.com/repos/njadNissi/AI_from_scratch/contributors,"Building Simple versions of AI (ML, DL, NN) models from scratch to help grasp the concepts",False,False,3,njadNissi/AI_from_scratch,Python,2024-10-25T08:00:54Z,AI_from_scratch,1.0,['tinyml'],18665,108,False,20
https://github.com/emlearn/emlearn-micropython,False,2,https://api.github.com/repos/emlearn/emlearn-micropython/collaborators{/collaborator},259,https://api.github.com/repos/emlearn/emlearn-micropython/contributors,Efficient Machine Learning engine for MicroPython,False,False,14,emlearn/emlearn-micropython,Jupyter Notebook,2025-01-19T20:24:14Z,emlearn-micropython,1.0,['tinyml'],3188,107,False,394
https://github.com/tinyMLx/appendix,False,4,https://api.github.com/repos/tinyMLx/appendix/collaborators{/collaborator},2,https://api.github.com/repos/tinyMLx/appendix/contributors,This repository holds the Appendix Documents for the EdX TinyML Specialization,False,False,36,tinyMLx/appendix,,2024-05-03T16:49:01Z,appendix,1.0,['tinyml'],1663,70,False,35
https://github.com/Efinix-Inc/tinyml,False,3,https://api.github.com/repos/Efinix-Inc/tinyml/collaborators{/collaborator},12,https://api.github.com/repos/Efinix-Inc/tinyml/contributors,"This repo is for Efinix TinyML platform, which offers end-to-end flow that facilitates TinyML solution deployment on Efinix FPGAs.",False,False,16,Efinix-Inc/tinyml,C++,2025-01-10T08:29:36Z,tinyml,1.0,['tinyml'],434953,55,False,35
https://github.com/sensiml/piccolo,False,5,https://api.github.com/repos/sensiml/piccolo/collaborators{/collaborator},54,https://api.github.com/repos/sensiml/piccolo/contributors,SensiML's open-source AutoML solution for Edge AI model development,False,False,7,sensiml/piccolo,Python,2025-01-17T01:48:25Z,piccolo,1.0,['tinyml'],96464,53,False,77
https://github.com/Mjrovai/UNIFEI-IESTI01-TinyML-2023.1,False,1,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2023.1/collaborators{/collaborator},26,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2023.1/contributors,TinyML - Machine Learning for Embedding Devices,False,False,11,Mjrovai/UNIFEI-IESTI01-TinyML-2023.1,Jupyter Notebook,2024-07-15T12:33:15Z,UNIFEI-IESTI01-TinyML-2023.1,1.0,['tinyml'],272945,48,False,49
